Organization Name,Organization Name URL,Headquarters Location,Founded Date,Founded Date Precision,Industries,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Description,Website,X (Twitter),LinkedIn,Founders,Number of Funding Rounds,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Full Description
Marble Health,https://www.crunchbase.com/organization/marble-health,"New York, New York, United States",2023-01-01,year,"Health Care, Mental Health, Wellness",2025-10-14,15500000,USD,15500000,Marble Health provides access to personalized therapy to help teens in their mental health journey.,https://www.marblehealth.com,,https://www.linkedin.com/company/marble-health/,Jake Sussman,3,Series A,20500000,USD,20500000,"Khosla Ventures, Town Hall Ventures, FJ Labs, Costanoa Ventures, Daybreak ventures","Costanoa Ventures, Khosla Ventures, Town Hall Ventures","Marble Health provides access to personalized therapy to help teens in their mental health journey. Marble Health provides prompt and affordable care for middle and high school students experiencing common mental health issues such as anxiety, depression, and trauma. They ensure that all teens and their families can access treatment using their existing insurance coverage, including both commercial and Medicaid plans."
dili,https://www.crunchbase.com/organization/dili-e466,"New York, New York, United States",2023-01-01,year,"Agentic AI, Artificial Intelligence (AI), Business Process Automation (BPA), Compliance, Construction, Enterprise Software",2026-07-30,15000000,USD,15000000,"Dili provides AI-powered compliance automation software for construction, infrastructure, and energy projects.",https://dili.ai,https://x.com/dili_ai,https://www.linkedin.com/company/dili-ai,"Anand Chaturvedi, Brian Fernandez, Stephanie Song",3,Series A,21825000,USD,21825000,"Khosla Ventures, Y Combinator, Pioneer Fund, Rocketship.vc, Gaingels",Khosla Ventures,"Dili provides an AI-powered compliance automation platform for construction, infrastructure, energy, and manufacturing projects. The platform automates prevailing wage compliance, certified payroll review, apprenticeship tracking, wage validation, compliance reporting, and audit workflows to help organizations manage regulatory requirements for federally funded projects."
Cluely,https://www.crunchbase.com/organization/cluely,"New York, New York, United States",2025-04-01,month,"Artificial Intelligence (AI), Computer, Meeting Software, Software",2025-06-20,15000000,USD,15000000,Cluely provides AI-powered real-time assistance for various tasks.,https://cluely.com,https://x.com/cluely,https://www.linkedin.com/company/cluely,"Alex Chen, Chungin Lee, Neel Shanmugam",2,Series A,20300000,USD,20300000,"Andreessen Horowitz, Abstract, Karman Ventures, Susa Ventures, Soma Capital","Abstract, Andreessen Horowitz, Susa Ventures","Cluely is an AI tool that offers live, context-aware responses during meetings and sales calls. It can recall information from transcripts and provide product details to sales representatives. The software also assists with individual work by reading screens and responding to prompts. The company offers a platform for coding questions that some in software engineering circles, all programming languages, development environments, and applications for screen sharing and collaborations; provides continuous customer support; and offers various plans as per users' needs, enabling users to get an undetectable AI assistant for their operations."
Trovy,https://www.crunchbase.com/organization/trovy,"New York, New York, United States",2024-01-01,year,"Apps, Finance, FinTech, Software",2026-06-24,15000000,USD,15000000,"Trovy is a fintech company that provides applications. analytics, and financial services.",https://trovy.com,https://x.com/trovycard,https://www.linkedin.com/company/trovy-technologies-inc,"Ashley Harris, TJ Milani, Wontaek Shin",2,Series A,25000000,USD,25000000,"Kleiner Perkins, Left Lane Capital, Camber Creek, DCM Ventures",Left Lane Capital,
Tetrix,https://www.crunchbase.com/organization/tetrix-08d1,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Information Technology",2026-06-23,15000000,USD,15000000,Tetrix offers an enterprise solution that utilizes cutting-edge AI technology to convert chaotic and complex alternative investment data.,https://www.tetrix.co/,,https://www.linkedin.com/company/tetrixinc/about/,,2,Series A,20000000,USD,20000000,"White Star Capital, Innovation Endeavors","Innovation Endeavors, White Star Capital","Tetrix offers an enterprise solution that leverages cutting-edge AI technology to convert chaotic and complex alternative investment data into simple, actionable insights, allowing for smarter investment decisions."
Zenskar,https://www.crunchbase.com/organization/zenskar,"New York, New York, United States",2022-03-01,month,"Accounting, Artificial Intelligence (AI), Billing, Financial Services, SaaS, Software",2026-04-17,15000000,USD,15000000,Zenskar provides a billing and revenue management platform for companies with usage-based and subscription pricing models.,https://www.zenskar.com,https://x.com/ZenskarHQ,https://www.linkedin.com/company/zenskar,"Apurv Bansal, Rakshit Kumar, Saurabh Agrawal",2,Series A,21500000,USD,21500000,"Alumni Ventures, Bessemer Venture Partners, Rocketship.vc, Shine Capital, Converge","Bessemer Venture Partners, Rho Capital Partners, Shine Capital, Susquehanna Venture Capital","Zenskar provides a billing and revenue management platform for companies with usage-based and subscription pricing models. The system enables businesses to track customer usage, generate invoices, and manage pricing structures across different plans. It includes tools for revenue recognition, financial reporting, and integration with accounting and payment systems. The platform also supports automation of billing workflows and handling of complex pricing scenarios such as tiered or metered charges. Zenskar serves organizations that require structured billing processes and visibility into revenue operations."
GTE,https://www.crunchbase.com/organization/gte-8e4f,"New York, New York, United States",2024-01-01,year,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Financial Exchanges, FinTech, Foreign Exchange Trading, Stock Exchanges, Trading Platform, Web3",2025-06-23,15000000,USD,15000000,"GTE is the world's fastest decentralized exchange for perpetual futures across crypto, equities, commodities, and prediction markets.",https://gte.xyz,https://x.com/GTE_XYZ,https://www.linkedin.com/company/gtexyz/,"Enzo Coglitore, Matteo Lunghi, Moses Lee, Nate Burbage",5,Series A,35942000,USD,35942000,"Paradigm, Wintermute, Robot Ventures, Maven 11 Capital, Flow Traders",Paradigm,"GTE is the world's fastest decentralized exchange and blockchain, enabling users across the globe to trade perpetual futures on crypto, equities, commodities, and prediction markets with CEX-level speed and execution while maintaining full decentralization."
Manifest,https://www.crunchbase.com/organization/manifest-f544,"New York, New York, United States",2022-01-01,year,"Cyber Security, Software, Supply Chain Management",2025-04-24,15000000,USD,15000000,Manifest is a cybersecurity firm focused on assisting businesses in securing their software supply chains.,http://www.manifestcyber.com,https://x.com/manifestcyber,https://www.linkedin.com/company/manifestcyber,"Cameron Greenburg, Daniel Bardenstein, Marc Frankel",2,Series A,21000000,USD,21000000,"BoxGroup, First Round Capital, AE Industrial Partners, XYZ Venture Capital, True Ventures","Ensemble VC, First Round Capital",Manifest is a cybersecurity firm focused on assisting businesses in securing their software supply chains. Manifest is creating the first all-in-one SBOM management platform.
Pro Padel League,https://www.crunchbase.com/organization/pro-padel-league,"New York, New York, United States",2022-01-01,year,"Leisure, Media and Entertainment, Recreation, Sports, Sports Leagues and Teams",2026-03-24,15000000,USD,15000000,The Pro Padel League is a team-based professional padel circuit bringing the highest level of competition to major cities around the world.,https://www.propadelleague.com/,https://x.com/propadelleague,https://www.linkedin.com/company/pro-padel-league/,,3,Series A,25000000,USD,25000000,"Left Lane Capital, Epic Padel, Gary Vaynerchuk, Kactus Capital Management, Tony Tamer","Left Lane Capital, Rick Schnall",The Pro Padel League is a team-based professional padel circuit bringing the highest level of competition to major cities around the world.
Ilant Health,https://www.crunchbase.com/organization/ilant-health,"New York, New York, United States",2022-01-01,year,"Health Care, Health Diagnostics, Outpatient Care",2026-04-09,15000000,USD,15000000,Obesity & Cardiometabolic Center of Excellence,https://www.ilanthealth.com,,https://www.linkedin.com/company/ilant-health,"Elina Onitskansky, Jessica Muse",4,Series A,20600000,USD,20600000,"SEMCAP, PeakBridge, Operator Partners, LifeX Ventures, Innovation Works","AlphaLab Health, Cornucopian Capital","Ilant Health is a value-based center of excellence for obesity and cardiometabolic health. We partner with employers and health plans to deliver personalized, high-quality, evidence-based care that drives life-changing outcomes and 2-4x+ in-year ROI. Using proprietary analytics, a robust clinical team, purpose-built technology, and lived-experience support, we de-average care, matching the right member to the right treatment and support. Our multidisciplinary team—obesity medicine physicians, behavioral health specialists, dietitians, and peer navigators—coupled with our clinical decision support, provides tailored care across behavioral therapy, pharmacotherapy, bariatric surgery, and condition management for diabetes and cardiovascular disease. Ilant delivers exceptional member experiences, transformative clinical outcomes, and strong financial returns."
Flint,https://www.crunchbase.com/organization/flintk12,"New York, New York, United States",2022-01-01,day,"Artificial Intelligence (AI), EdTech, Education, Software",2025-11-05,15000000,USD,15000000,"AI Platform for Schools, Virtual Communication, Education Technology",https://flintk12.com/,https://x.com/FlintK12_,https://www.linkedin.com/company/flintk12,"Jinseo Park, lysander quill, Sohan Choudhury",3,Series A,15500000,USD,15500000,"Y Combinator, Basis Set Ventures, Afore Capital, Patron, zVentures","Afore Capital, Basis Set Ventures, Patron, Y Combinator, zVentures","Flintk12 Inc. is a pioneering AI platform tailored for educational institutions. The platform recognizes the transformative potential of AI in education and bridges the gap between technology and classroom engagement. Flintk12 ensures data security and privacy, not using student chat data to train AI models. The platform provides features supporting multiple AI models, custom roles, and document/link uploads, aiming to redefine the modern classroom experience."
Evertune,https://www.crunchbase.com/organization/evertune-5d1a,"New York, New York, United States",2024-01-01,year,"Analytics, Artificial Intelligence (AI), Business Intelligence, Content Marketing, Enterprise Software, SaaS, SEO",2025-08-12,14999977,USD,14999977,Evertune is the Generative Engine Optimization (GEO) platform that helps brands improve visibility in AI search.,https://www.evertune.ai/,https://x.com/evertune_ai,https://www.linkedin.com/company/evertune-ai/,"Brian Stempeck, Edward Chater, Poul Costinsky",2,Series A,18999969,USD,18999969,"Felicis, NextView Ventures, Eniac Ventures, Jonathan Carson, Sarfraz Maredia","Eniac Ventures, Felicis","Evertune is the Generative Engine Optimization (GEO) platform that helps brands improve visibility in AI search across ChatGPT, AI Overview, AI Mode, Gemini, Claude, Perplexity, Meta, DeepSeek and Copilot. We're building the first marketing platform for AI search as a channel. We show enterprise brands exactly where they stand when customers discover them through AI — then give them the precise playbook to show up stronger. This is Generative Engine Optimization, also known as AI SEO. Why Leading Enterprise Marketers Choose Evertune: Data Science at Scale: We prompt across every major LLM at volumes that capture response variations and ensure statistical significance for comprehensive brand monitoring and competitive intelligence. Actionable Strategy, Not Just Dashboards: We decode exactly what gets brands mentioned more and ranked higher, then deliver the specific content, messaging and distribution moves that improve your position.  Dedicated Customer Success: Our team provides hands-on training and strategic guidance to help you execute on insights and improve your AI search visibility. Purpose-Built for AI as a Channel: Evertune was founded in 2024 specifically for how LLMs select and rank brands. While others retrofit SEO tools, we're architecting the infrastructure for where marketing is going: AI search with organic visibility today, paid placements and agentic commerce tomorrow. Proven Leadership: Our founders helped build The Trade Desk and pioneered data-driven digital advertising. We've shepherded an entire industry through transformation before and have seen early adopters grab the competitive advantage. Our investors, including data scientists from OpenAI and Meta, back our vision because they see where this channel is heading."
Centari,https://www.crunchbase.com/organization/centari,"New York, New York, United States",2023-02-01,month,"Artificial Intelligence (AI), Knowledge Management, Legal Tech, Software",2025-09-18,14000000,USD,14000000,"Centari is the platform for Deal Intelligence, combining secure LLMs with trusted precedent to accelerate transactions.",https://www.centari.com/,https://x.com/centariapp,https://www.linkedin.com/company/centariapp,"Bryan Gilbert Davis, Kevin Walker",3,Series A,14000000,USD,14000000,"South Park Commons, Alt Capital, GTMfund, Sentinel Global, Recall Capital",Sentinel Global,"Centari is the platform for Deal Intelligence, combining secure LLMs with trusted precedent to accelerate transactions."
Rebar,https://www.crunchbase.com/organization/rebar-444d,"New York, New York, United States",2024-01-01,year,"Artificial Intelligence (AI), Construction, Heating, Ventilation, and Air Conditioning (HVAC), Industrial",2026-03-10,14000000,USD,14000000,Rebar is a construction technology company that develops AI-powered estimating software for HVAC equipment suppliers.,https://www.withrebar.ai,,https://www.linkedin.com/company/withrebar,"Andrew Schwartz, Evan Brown",1,Series A,14000000,USD,14000000,"Founder Collective, Prudence, Villain Capital, Zero Infinity Partners, Optimist Ventures",Prudence,"Rebar is a construction technology company that develops AI-powered estimating software for HVAC equipment suppliers and representative firms. Its platform helps teams automate HVAC takeoffs, the process of reviewing building plans, to identify and count equipment needed for a project. The company’s software uses artificial intelligence to analyze construction drawings and automatically tag and quantify HVAC components such as dampers, diffusers, and other equipment. This reduces the manual work involved in estimating and enables teams to generate project estimates much faster. In addition to automated takeoffs, the platform provides tools for tracking estimating performance, analyzing market specifications, and monitoring bidding activity to help HVAC suppliers make more informed sales and product decisions. It focuses on bringing AI-driven automation to the architecture, engineering, and construction (AEC) sector by streamlining complex estimation workflows for HVAC businesses."
Take2 AI,https://www.crunchbase.com/organization/take2-ai,"New York, New York, United States",2022-01-01,year,"Employment, Generative AI, Human Resources, Information Technology, Recruiting, SaaS",2026-02-11,14000000,USD,14000000,Take2 AI automates phone screens with AI agents.,http://www.take2.ai,,https://www.linkedin.com/company/jointake2/,"Kaushik Narasimhan, Yaniv Shimoni",3,Series A,19000000,USD,19000000,"Techstars, Human Capital, Reach Capital, SemperVirens Venture Capital, Honeystone Ventures","Aiinno Capital, Human Capital, Reach Capital, SemperVirens Venture Capital","Take2 AI automates phone screens with AI agents. Take2's AI Interviewers automate the end-to-end screening process -- evaluating resumes, conducting phone screens, and scheduling 2nd interviews with qualified candidates. Our AI Interviewers help reduce overhead costs while boosting speed-to-hire and preventing mis-hires. We are a team of Stanford GSB alums, backed by SemperVirens & Reach Capital. Our advisory board consists of HR Leaders from Visa, HP, Disney and Google."
Strella,https://www.crunchbase.com/organization/strella-fd07,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), SaaS, Software",2025-10-16,14000000,USD,14000000,"Strella is a Software as a Service (SaaS) solution that allows innovative product teams to run fast, continuous user research using AI.",https://www.strella.io/,https://x.com/strella_io,https://www.linkedin.com/company/strella-io/,Priya Krishnan,2,Series A,18000000,USD,18000000,"Bessemer Venture Partners, 645 Ventures, Unusual Ventures, MVP Ventures, Decibel Partners","Bessemer Venture Partners, Decibel Partners","Strella is a Software as a Service (SaaS) solution that allows innovative product teams to run fast, continuous user research using AI."
Lingopal,https://www.crunchbase.com/organization/lingopal,"New York, New York, United States",2023-11-10,day,"Artificial Intelligence (AI), Software, Translation Service",2025-02-10,14000000,USD,14000000,LingoPal offers speech-to-speech translation including live captions and cloned voices for multilingual livestreams and broadcasts.,https://lingopal.ai,,https://www.linkedin.com/company/lingopal-ai/,"Casey Schneider, Deven Orie",3,Series A,16200000,USD,16200000,"Scrum Ventures, DCM Ventures, Z Fellows, Cory Levy, Marquee Ventures",DCM Ventures,"LingoPal develops AI technology for real-time speech-to-speech translation in more than 120 languages. The platform integrates with livestream audio to translate speech and captions instantly, preserving speaker emotion, voice characteristics, and informal elements like slang or idioms, via a no-code, plug-and-play interface. LingoPal’s model delivers high accuracy, supports multiple speakers seamlessly, and maintains latency under two seconds even on compact models."
Zip Security,https://www.crunchbase.com/organization/zip-security-07c3,"New York, New York, United States",2022-01-01,year,"Artificial Intelligence (AI), Cyber Security, Management Consulting, Network Security, Security",2025-07-14,13500000,USD,13500000,Zip Security delivers an AI-driven cybersecurity and compliance platform for security and IT automation for small and mid-sized enterprises.,https://www.zipsec.com,,https://www.linkedin.com/company/zipsec,"Gabbi Merz, Joshua Zweig",2,Series A,21200000,USD,21200000,"General Catalyst, BoxGroup, Human Capital, MANTIS Venture Capital, Ballistic Ventures","Ballistic Ventures, General Catalyst, Human Capital","Zip Security delivers an AI-driven cybersecurity and compliance platform that automates cloud-based identity management, device management, and endpoint threat detection. The platform automates deployment and management of tools like endpoint detection, device and identity management, secure browsing, and compliance frameworks such as SOC‑2 and HIPAA. It integrates with solutions like CrowdStrike, Intune, Jamf, Google Workspace, and Okta, enabling businesses without security teams to maintain effective defenses."
Texture,https://www.crunchbase.com/organization/texture-66bf,"New York, New York, United States",2023-06-16,day,"Cloud Data Services, Energy Management",2026-05-23,12500000,USD,12500000,The industry cloud for distributed energy,https://www.texturehq.com,https://x.com/texturehq,https://www.linkedin.com/company/texturehq,"Sanjiv Sanghavi, Victor Quinn",4,Series A,29230078,USD,29230078,"Abstract, Equal Ventures, Lerer Hippeau, VoLo Earth Ventures, Day One Ventures","Equal Ventures, VoLo Earth Ventures","Texture aggregates data from devices, meters, markets and other signals, all into a single, easy-to-use platform so any company in the energy space can be data-driven."
Uniti AI,https://www.crunchbase.com/organization/zebraai,"New York, New York, United States",2024-02-01,day,"Artificial Intelligence (AI), Real Estate, Sales Automation",2026-07-21,12000000,USD,12000000,Uniti AI is a platform that specializes in AI-driven sales agents specifically for the commercial real estate industry.,https://www.getuniti.com,,https://www.linkedin.com/company/uniti-ai,"Emre Altinok, Francesco Decamilli",2,Series A,16000000,USD,16000000,"Pathlight Ventures, Flex Capital, Prudence, MetaProp, Alate Partners","Pathlight Ventures, Prudence","​Uniti AI develops artificial intelligence agents designed to assist real estate professionals by engaging, qualifying, and scheduling leads through various communication channels, including email, SMS, WhatsApp, and website chat, operating around the clock. The platform offers customization options, allowing users to tailor qualification questions, messaging styles, and escalation protocols without requiring coding skills. Uniti AI's solutions cater to diverse real estate sectors such as self-storage, coworking spaces, multifamily housing, brokerages, and event venues. By automating routine tasks, the company aims to enable human teams to focus on strategic, high-value activities."
Sent,https://www.crunchbase.com/organization/sent-aa00,"New York, New York, United States",2023-12-05,day,"Communications Infrastructure, Developer Platform, Messaging",2026-06-28,12000000,USD,12000000,Sent is a single API that lets brands seamlessly send texts across SMS and apps like WhatsApp and iMessage,https://sent.dm,https://x.com/sent_dm,https://www.linkedin.com/company/sentdm,Daniel Vataj,3,Series A,15550000,USD,15550000,"Plug and Play, Bessemer Venture Partners, Flybridge, Urban Innovation Fund, Companyon Ventures","Bessemer Venture Partners, Companyon Ventures, Urban Innovation Fund",
Lama AI,https://www.crunchbase.com/organization/lama-ai,"New York, New York, United States",2022-01-01,year,"Banking, Commercial Lending, Finance, Financial Services, FinTech, Funding Platform, Lending, Machine Learning",2026-06-23,12000000,USD,12000000,AI-native loan origination infrastructure for banks and credit unions modernizing commercial lending,https://www.lama.ai,,https://linkedin.com/company/lamaai,"Omri Yacubovich, Ran Magen",2,Series A,21000000,USD,21000000,"SixThirty, Hetz Ventures, Viola Ventures, Fin Capital, Foundation Capital","EJF Ventures, Hetz Ventures, Viola Ventures","Lama AI provides AI-native loan origination infrastructure for community and regional banks. Its platform helps automate intake, borrower assistance, document collection, underwriting preparation, decisioning workflows, closing, and portfolio monitoring, enabling banks to scale lending operations while reducing manual work. Trusted by leading community and regional banks, Lama AI helps lenders move faster, improve borrower experience, and preserve the credit discipline, oversight, and compliance standards required in regulated lending. Lama AI is on a mission to expand access to fair, profitable capital for small businesses and beyond.  Headquartered in NYC with an R&D center in Tel Aviv, Lama AI is reshaping the future of business lending. For more information visit us at: https://lama.ai/"
Belfry,https://www.crunchbase.com/organization/belfry-3b43,"New York, New York, United States",2022-03-04,day,"Human Resources, Physical Security, Software, Virtual Workforce",2025-01-21,12000000,USD,12000000,Belfry is a technology provider that offers a software platform for managing businesses.,http://belfrysoftware.com,https://x.com/belfrysoftware,https://www.linkedin.com/company/belfrysoftware,"Alex Tulenko, Jordan Wallach",2,Series A,14149999,USD,14149999,"Base10 Partners, Bienville Capital, Aglaé Ventures",Base10 Partners,"Belfry is a technology provider that offers a software platform for managing security guard services and businesses. Its platform offers an optimized schedule, maintains engagement in deployed officers, and prepares payroll that help clients scale their businesses by simplifying and automating workforce management."
Concourse,https://www.crunchbase.com/organization/concourse-e69f,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), B2B, Enterprise Software, Finance, Generative AI, Software",2026-01-27,12000000,USD,12000000,"Concourse is an AI agent platform that helps corporate finance teams by automating financial analysis, reporting, and data workflows.",https://concourse.co,https://x.com/concourse_ai,https://www.linkedin.com/company/concourseai,"Matthieu Hafemeister, Ted Michaels",3,Series A,17200000,USD,17200000,"Andreessen Horowitz, BoxGroup, Y Combinator, SV Angel, Precursor Ventures","Andreessen Horowitz, CRV, Standard Capital, Y Combinator","Concourse is a company that provides an AI platform designed to support corporate finance teams by automating financial analysis, reporting, and data workflows. It offers AI agents that connect with existing financial systems and allow users to query financial data, generate reports, and run forecasts using natural language without needing manual data manipulation or technical setup. The platform integrates with a wide range of systems to centralize data for analysis and enables teams to produce charts, variance explanations, and ad-hoc insights. Concourse also includes features for collaborative editing, commentary, and exporting outputs to common formats like spreadsheets and presentations."
Haast,https://www.crunchbase.com/organization/haast,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Compliance, Enterprise Software, Marketing, Marketing Automation, SaaS",2026-04-09,12000000,USD,12000000,Haast provides an AI-powered platform to automate marketing and content compliance workflows for organizations in regulated environments.,https://www.haast.io,,https://www.linkedin.com/company/haast-ai,"Kunal Vankadara, Liam King",3,Series A,16628275,USD,16628275,"Peak XV Partners, Defy.vc, Airtree Ventures, DST Global, Aura Ventures","Airtree Ventures, Aura Ventures, Peak XV Partners","Haast provides an AI-powered platform designed to automate marketing and content compliance workflows for organizations operating in regulated environments. The company offers tools that review digital assets before publication, identifying potential legal, regulatory, and brand compliance risks within marketing materials, documents, and communications. Its platform applies machine learning models trained on regulatory frameworks and internal company policies to deliver risk-aware assessments aligned with an organization’s compliance standards. Haast enables continuous monitoring of live digital channels, including websites, social media, and third-party platforms, to detect and flag compliance issues after content is published. The system provides real-time alerts and supports remediation processes, helping teams address risks before they escalate into regulatory or reputational concerns. The company also supports regulatory tracking by identifying relevant rule changes and assessing their impact on existing content and workflows. Its platform integrates with commonly used enterprise tools and content systems, allowing compliance checks to be embedded directly into existing processes without requiring separate manual reviews."
Bolto,https://www.crunchbase.com/organization/onnix-d36a,"New York, New York, United States",2023-06-01,month,"Artificial Intelligence (AI), B2B, Compliance, FinTech, Human Resources, SaaS",2026-04-21,12000000,USD,12000000,"AI HR platform that finds top global talent and simplifies onboarding, payroll, and compliance.",https://www.bolto.com,https://x.com/boltohq,https://www.linkedin.com/company/boltohq/,"Jake Johnson, Milan Bhandari, Mrinal Singh",3,Series A,17125000,USD,17125000,"General Catalyst, Alumni Ventures, Y Combinator, Amino Capital, Standard Capital",Standard Capital,"Bolto is the end-to-end AI powered HR platform for global teams. Find and hire the best pre-vetted global talent and simplify culture, onboarding, payroll, and compliance."
OffDeal,https://www.crunchbase.com/organization/offdeal,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Information Technology, Software",2025-07-29,12000000,USD,12000000,AI-native investment bank for buying and selling small businesses,https://offdeal.io,https://x.com/tryoffdeal,https://www.linkedin.com/company/offdeal/,"Alston Lin, Ori Eldarov",3,Series A,16825000,USD,16825000,"Radical Ventures, Y Combinator, Rebel Fund, Centre Street Partners, Andy Dunn","Radical Ventures, Y Combinator","OffDeal is building an AI-native investment bank for buying and selling small businesses. We use custom AI agents and big data to screen thousands of SMBs each day, matching buyers with the perfect acquisition target in days instead of months. Unlike legacy M&A advisors, we can search for targets for hundreds of buyers concurrently, 24/7."
Anecdote,https://www.crunchbase.com/organization/anecdote-9011,"New York, New York, United States",2022-01-01,year,"Artificial Intelligence (AI), Information Technology, Internet, Software",2025-09-15,12000000,USD,12000000,"Help companies hear every customer, even if the crowd is loud",https://anecdoteai.com/,,https://www.linkedin.com/company/anecdote-ai,"Abed Kasaji, Pavel Kochetkov",2,Series A,12000000,USD,12000000,"Neo, STV, Oraseya Capital, Phaze Ventures, Prosus Ventures",Prosus Ventures,Anecdote helps companies make better product decisions by listening to their customers. We structure the unstructured text & voice feedback and marry it with the user engagement data and business metrics. Our solution is based on large language models that are changing the world. We see this as an opportunity to build specific use cases on top of them. Our team has a solid track record in delivering such AI-driven products.
Tracera,https://www.crunchbase.com/organization/esg-flo,"New York, New York, United States",2022-01-01,year,"Analytics, Artificial Intelligence (AI), Machine Learning",2025-04-08,12000000,USD,12000000,Tracera is a AI-powered data infrastructure platform.,https://www.esgflo.com,,https://www.linkedin.com/company/tracera-ai/,Patrick Obeid,2,Series A,17250000,USD,17250000,"Contour Venture Partners, Tola Capital, Foundry Group, Rho Capital Partners, Bain & Company Inc.","Foundry Group, Rho Capital Partners, Tola Capital",Tracera is an AI-powered data infrastructure platform. It helps to extract relevant information from source documents.
Luzern Risk,https://www.crunchbase.com/organization/xn-captive,"New York, New York, United States",2023-01-01,year,"Health Insurance, Insurance, Risk Management",2025-03-21,12000000,USD,12000000,Luzern Risk provides complete captive insurance services.,https://www.luzernrisk.com/,,https://www.linkedin.com/company/luzern/,"Gabriel Weiss, Rachel Jenkins, Sam Espinosa",2,Series A,13500000,USD,13500000,Caffeinated Capital,Caffeinated Capital,Luzern Risk provides complete captive insurance services.
